année,pop_id,cha_id,nombre_employe
2011,pop_4,cha_3,2
2012,pop_4,cha_3,2
2013,pop_4,cha_3,2
2014,pop_4,cha_3,2
2015,pop_4,cha_3,2
2016,pop_4,cha_3,2
2017,pop_4,cha_3,1
2018,pop_4,cha_3,2
2019,pop_4,cha_3,1
2020,pop_4,cha_3,75
1990,pop_5,cha_3,38
1991,pop_5,cha_3,40
1992,pop_5,cha_3,36
1993,pop_5,cha_3,50
1994,pop_5,cha_3,51
1995,pop_5,cha_3,43
1996,pop_5,cha_3,40
1997,pop_5,cha_3,34
1998,pop_5,cha_3,27
1999,pop_5,cha_3,41
2000,pop_5,cha_3,27
2001,pop_5,cha_3,31
2002,pop_5,cha_3,28
2003,pop_5,cha_3,23
2004,pop_5,cha_3,15
2005,pop_5,cha_3,16
2006,pop_5,cha_3,12
2007,pop_5,cha_3,19
2008,pop_5,cha_3,10
2009,pop_5,cha_3,30
2010,pop_5,cha_3,30
2011,pop_5,cha_3,9
2012,pop_5,cha_3,14
2013,pop_5,cha_3,27
2014,pop_5,cha_3,11
2015,pop_5,cha_3,12
2016,pop_5,cha_3,15
2017,pop_5,cha_3,14
2018,pop_5,cha_3,17
2019,pop_5,cha_3,12
2020,pop_5,cha_3,456
1990,pop_6,cha_3,14
1991,pop_6,cha_3,15
1992,pop_6,cha_3,13
1993,pop_6,cha_3,16
1994,pop_6,cha_3,13
1995,pop_6,cha_3,17
1996,pop_6,cha_3,12
1997,pop_6,cha_3,8
1998,pop_6,cha_3,8
1999,pop_6,cha_3,11
2000,pop_6,cha_3,8
2001,pop_6,cha_3,15
2002,pop_6,cha_3,12
2003,pop_6,cha_3,9
2004,pop_6,cha_3,6
2005,pop_6,cha_3,9
2006,pop_6,cha_3,8
2007,pop_6,cha_3,4
2008,pop_6,cha_3,6
2009,pop_6,cha_3,14
2010,pop_6,cha_3,12
2011,pop_6,cha_3,4
2012,pop_6,cha_3,8
2013,pop_6,cha_3,14
2014,pop_6,cha_3,6
2015,pop_6,cha_3,5
2016,pop_6,cha_3,6
2017,pop_6,cha_3,6
2018,pop_6,cha_3,11
2019,pop_6,cha_3,6
2020,pop_6,cha_3,235
1982,pop_1,cha_4,242
1983,pop_1,cha_4,200
1984,pop_1,cha_4,190
1985,pop_1,cha_4,278
1986,pop_1,cha_4,364
1987,pop_1,cha_4,444
1988,pop_1,cha_4,433
1989,pop_1,cha_4,419
1990,pop_1,cha_4,359
1991,pop_1,cha_4,280
1992,pop_1,cha_4,298
1993,pop_1,cha_4,284
1994,pop_1,cha_4,285
1995,pop_1,cha_4,305
1996,pop_1,cha_4,295
1997,pop_1,cha_4,283
1998,pop_1,cha_4,291
1999,pop_1,cha_4,318
2000,pop_1,cha_4,360
2001,pop_1,cha_4,334
2002,pop_1,cha_4,315
2003,pop_1,cha_4,290
2004,pop_1,cha_4,289
2005,pop_1,cha_4,260
2006,pop_1,cha_4,261
2007,pop_1,cha_4,277
2008,pop_1,cha_4,272
2009,pop_1,cha_4,259
2010,pop_1,cha_4,286
2011,pop_1,cha_4,270
2012,pop_1,cha_4,252
2013,pop_1,cha_4,266
2014,pop_1,cha_4,264
2015,pop_1,cha_4,286
2016,pop_1,cha_4,279
2017,pop_1,cha_4,291
2018,pop_1,cha_4,277
2019,pop_1,cha_4,283
2020,pop_1,cha_4,262
1982,pop_4,cha_4,214
1983,pop_4,cha_4,221
1984,pop_4,cha_4,196
